0,0,0,0,0,0,0
0,0,0,3,3,2,4
3,5,7,8,8,6,11
3,7,9,13,17,16,21
8,15,20,25,22,18,27
10,14,23,27,26,21,39
16,22,26,27,26,22,34
15,26,31,34,33,26,49
0,0,0,0,0,0,0
12,23,30,30,29,21,38
10,16,20,23,22,19,30
14,26,38,46,47,35,59
15,28,32,41,33,22,46
13,24,33,30,29,29,51
20,27,36,44,37,25,53
11,27,36,31,29,17,45
13,19,25,28,27,23,37
13,28,35,39,32,27,48
16,26,37,38,31,25,45
10,20,27,28,29,25,43
16,27,33,35,32,27,46
7,21,28,30,33,23,44
14,29,32,29,26,17,38
14,26,35,32,31,21,50
17,34,39,38,34,24,54
12,23,34,33,30,22,47
20,32,35,36,26,18,44
14,27,38,40,36,23,49
35,54,63,62,51,41,86
22,42,61,64,62,54,94
31,59,73,66,69,60,106
21,44,64,75,75,48,96
14,22,35,33,30,19,44
20,32,39,41,47,37,61
14,21,24,29,25,21,41
11,23,32,37,39,32,53
5,14,23,25,24,19,31
12,23,31,36,31,20,44
14,20,25,20,21,17,35
11,25,35,39,41,27,52
13,26,32,34,33,32,48
19,29,35,35,35,30,56
14,26,27,24,21,14,36
10,21,28,29,26,19,41
14,29,32,30,27,20,42
11,22,26,29,28,21,39
15,24,28,25,23,21,39
30,39,44,43,47,35,72
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
10,26,25,23,20,12,34
7,18,22,28,28,22,38
6,16,22,25,19,16,30
9,22,28,31,31,28,44
11,26,30,29,28,22,42
12,20,29,30,27,20,40
13,18,21,24,26,24,36
12,24,30,34,35,22,48
13,30,42,49,46,40,60
12,31,40,38,40,37,56
16,26,36,29,30,25,44
8,14,29,27,27,22,37
